Uydu Adı,NORAD ID,Uluslararası Tanımlayıcı,Kategori,Durum,TLE Line 1,TLE Line 2
TURKSAT 3A,33056,08030B,Haberleşme (GEO),Dosyada Bulundu,1 33056U 08030B   26086.91125112  .00000127  00000+0  00000+0 0  9990,2 33056   0.0560  77.8887 0004875 311.0134 166.4449  1.00271944 51549
TURKSAT 4A,39522,14007A,Haberleşme (GEO),Dosyada Bulundu,1 39522U 14007A   26086.84001082  .00000127  00000+0  00000+0 0  9996,2 39522   0.0641 288.9608 0004148  24.5306 216.1672  1.00268485 44155
TURKSAT 4B,40984,15060A,Haberleşme (GEO),Dosyada Bulundu,1 40984U 15060A   26086.93933569  .00000000  00000+0  00000+0 0  9994,2 40984   0.0225 163.0123 0002349 200.6098 209.9285  1.00267776 38287
TURKSAT 5A,47306,21001A,Haberleşme (GEO),Dosyada Bulundu,1 47306U 21001A   26086.83784414  .00000135  00000+0  00000+0 0  9992,2 47306   0.0170 111.8637 0000220 155.3727 250.5490  1.00271728 19150
TURKSAT 5B,50212,21126A,Haberleşme (GEO),Dosyada Bulundu,1 50212U 21126A   26086.76868385  .00000127  00000+0  00000+0 0  9993,2 50212   0.0780 334.3326 0005287   0.9760 168.5927  1.00271844 15488
TURKSAT 6A,60233,24127A,Haberleşme (GEO),Dosyada Bulundu,1 60233U 24127A   26086.91125112  .00000127  00000+0  00000+0 0  9992,2 60233   0.0310 202.7723 0001539 122.8636 229.7344  1.00272093  6202
ASELSAT,44108,N/A,Küp Uydu (LEO),Dosyada Yok (LEO),N/A,N/A
GOKTURK-1,39030,N/A,Gözlem (LEO),Dosyada Yok (LEO),N/A,N/A
GOKTURK-2,38858,N/A,Gözlem (LEO),Dosyada Yok (LEO),N/A,N/A
IMECE,57308,N/A,Gözlem (LEO),Dosyada Yok (LEO),N/A,N/A
